"","id","observed_on_string","observed_on","time_observed_at","time_zone","user_id","user_login","user_name","created_at","updated_at","quality_grade","license","url","image_url","sound_url","tag_list","description","num_identification_agreements","num_identification_disagreements","captive_cultivated","oauth_application_id","place_guess","latitude","longitude","positional_accuracy","private_place_guess","private_latitude","private_longitude","public_positional_accuracy","geoprivacy","taxon_geoprivacy","coordinates_obscured","positioning_method","positioning_device","place_town_name","place_county_name","place_state_name","place_country_name","place_admin1_name","place_admin2_name","species_guess","scientific_name","common_name","iconic_taxon_name","taxon_id","field.tree.canopy.symptoms","field.optional...did.the.tree.have.heat.damage","field.percent.canopy.affected....","field.dieback.percent","field.number.of.additional.unhealthy.trees..of.same.species..in.area..within.sight.","field.percent.of.trees..of.same.species..within.sight.that.are.unhealthy","field.other.factors...are.there.signs.or.symptoms.of.insect..diseases..or.other.damage.","field.optional...what..other.factors..were.observed.","field.optional...tree.size","field.optional...site.type","field.optional...site.location.description","field.optional...site.area.disturbance.level","field.optional...site.hydrology","field.optional...access.to.water","field.optional...slope.position","field.optional...were.there.any.other.unhealthy.plant.species.on.the.site.","field.optional...timing.of.symptoms.estimate","field.optional...estimated.time.spent.to.make.this.observation....of.minutes.","field.optional...can.we.follow.up.with.you.","field.tree.number..from.google.map..if.applicable","field.notes","Percent.Dieback.Modified","user.estimated.dieback","field.dieback.prop","tree.size.simplified","binary.tree.canopy.symptoms","reclassified.tree.canopy.symptoms","ordinal.tree.canopy.symptoms","top.dieback","thinning"
"548",190505451,"2023-11-09 09:42:42-08:00","2023-11-09","2023-11-09 17:42:42 UTC","Pacific Time (US & Canada)",268175,"dayhiker","","2023-11-09 17:44:13 UTC","2023-11-12 01:19:30 UTC","research","CC-BY-NC","https://www.inaturalist.org/observations/190505451","https://inaturalist-open-data.s3.amazonaws.com/photos/334029597/medium.jpg",NA,"","",1,0,"false",3,"Portland State University, Portland, OR, US",45.5123150396,-122.6882739646,4,"",NA,NA,4,"","open","false","","","Portland","Multnomah","Oregon","United States","Oregon","Multnomah","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"Old Dead Top (needles already gone)","Maybe","60-99% of the canopy is unhealthy",80,"2-3",50,"Not sure","No selection","No selection","No Selection","No Selection","No Selection","No Selection","No selection","No selection","No selection","No selection","","No Selection","","Fire on some nearby trees / stumps little if any on this one homeless camp",60,"Yes",0.8,"No Selection","Unhealthy","Dead Top","Unhealthy","Yes","No"
"549",191139168,"2023-11-15 16:17:28-08:00","2023-11-15","2023-11-16 00:17:28 UTC","America/Vancouver",3801949,"papajames","","2023-11-16 01:22:45 UTC","2023-12-19 20:30:55 UTC","needs_id","CC-BY-NC","https://www.inaturalist.org/observations/191139168","https://inaturalist-open-data.s3.amazonaws.com/photos/335248666/medium.jpg",NA,"","",0,0,"false",3,"Edgemont Blvd, North Vancouver, BC, CA",49.3342216667,-123.097375,4,"",NA,NA,4,"","open","false","","","","Greater Vancouver","British Columbia","Canada","British Columbia","Greater Vancouver","","Thuja plicata","western redcedar","Plantae",48252,"Old Dead Top (needles already gone)","No selection","1-29% of the canopy is unhealthy",15,"2-3",50,"Not sure","No selection","Large (too big to wrap arms around trunk)","Urban","Urban yard or open park grounds","No Selection","Upland or well drained","Tree may have occassional access to water in summer (watered by someone)","No selection","No selection","No selection","5","Yes","","",1,"Yes",0.15,"Large","Unhealthy","Dead Top","Unhealthy","Yes","No"
"550",191204889,"2023-11-16 11:48:39-08:00","2023-11-16","2023-11-16 19:48:39 UTC","Pacific Time (US & Canada)",7358461,"ninaavila2","","2023-11-16 19:51:54 UTC","2023-11-16 20:03:58 UTC","research","CC-BY-NC","https://www.inaturalist.org/observations/191204889","https://inaturalist-open-data.s3.amazonaws.com/photos/335373496/medium.jpg",NA,"","",1,0,"false",3,"NE Fremont St, Portland, OR, US",45.5484901465,-122.5517060576,9,"",NA,NA,9,"","open","false","","","Portland","Multnomah","Oregon","United States","Oregon","Multnomah","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"Extra Cone Crop","No","1-29% of the canopy is unhealthy",5,"4-6",25,"Yes (please elaborate in Notes, add Picture if possible)","Top Cutting or Intensive Pruning","Large (too big to wrap arms around trunk)","Urban","Roadside","Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)","Upland or well drained","Tree does not typically have access to water in summer","Area is flat (e.g. field)","No","This is the first time I have seen this tree","10","No preference","PWRC49","2 other redcedars next to this one with same characteristics.  Heavy pruning on all 3 due to power line.",1,"Yes",0.05,"Large","Unhealthy","Other","Unhealthy","No","No"
"551",191206427,"2023-11-16 12:03:37-08:00","2023-11-16","2023-11-16 20:03:37 UTC","Pacific Time (US & Canada)",7358461,"ninaavila2","","2023-11-16 20:08:57 UTC","2023-11-17 01:58:50 UTC","research","CC-BY-NC","https://www.inaturalist.org/observations/191206427","https://inaturalist-open-data.s3.amazonaws.com/photos/335375979/medium.jpg",NA,"","",1,0,"false",3,"NE San Rafael St, Portland, OR, US",45.5370671835,-122.5406841521,9,"",NA,NA,9,"","open","false","","","Portland","Multnomah","Oregon","United States","Oregon","Multnomah","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"Extra Cone Crop","No","1-29% of the canopy is unhealthy",5,"0",0,"No","No selection","Large (too big to wrap arms around trunk)","Suburban","Roadside","Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)","Upland or well drained","Tree does not typically have access to water in summer","Area is flat (e.g. field)","No","This is the first time I have seen this tree","5","No preference","PWRC56","",1,"Yes",0.05,"Large","Unhealthy","Other","Unhealthy","No","No"
"552",191207255,"2023-11-16 12:16:55-08:00","2023-11-16","2023-11-16 20:16:55 UTC","Pacific Time (US & Canada)",7358461,"ninaavila2","","2023-11-16 20:20:27 UTC","2023-11-16 22:09:01 UTC","research","CC-BY-NC","https://www.inaturalist.org/observations/191207255","https://inaturalist-open-data.s3.amazonaws.com/photos/335377621/medium.jpg",NA,"","",1,0,"false",3,"NE Brazee St, Portland, OR, US",45.5402726145,-122.5556433545,6,"",NA,NA,6,"","open","false","","","Portland","Multnomah","Oregon","United States","Oregon","Multnomah","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"Healthy","No","Healthy, no dieback(0%)",0,"0",0,"No","No selection","Large (too big to wrap arms around trunk)","Suburban","Roadside","Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)","Upland or well drained","Tree may have occassional access to water in summer (watered by someone)","Area is flat (e.g. field)","No","This is the first time I have seen this tree","3","No preference","PWRC57","",0,"Yes",0,"Large","Healthy","Healthy","Healthy","No","No"
"553",191210073,"2023-11-16 12:47:15-08:00","2023-11-16","2023-11-16 20:47:15 UTC","Pacific Time (US & Canada)",7358461,"ninaavila2","","2023-11-16 20:50:56 UTC","2023-11-16 22:08:19 UTC","research","CC-BY-NC","https://www.inaturalist.org/observations/191210073","https://inaturalist-open-data.s3.amazonaws.com/photos/335382839/medium.jpg",NA,"","",1,0,"false",3,"NE Fargo Ct, Portland, OR, US",45.5443286496,-122.4932785237,8,"",NA,NA,8,"","open","false","","","Portland","Multnomah","Oregon","United States","Oregon","Multnomah","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"Thinning Canopy","Maybe","1-29% of the canopy is unhealthy",5,"0",0,"No","No selection","Large (too big to wrap arms around trunk)","Suburban","Roadside","Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)","Upland or well drained","Tree does not typically have access to water in summer","Area is flat (e.g. field)","No","This is the first time I have seen this tree","5","No preference","PWRC85","2 redcedars with similar characteristics.  One is slightly smaller than the other.",1,"Yes",0.05,"Large","Unhealthy","Thinning Canopy","Unhealthy","No","Yes"
"554",191210850,"2023-11-16 12:57:57-08:00","2023-11-16","2023-11-16 20:57:57 UTC","Pacific Time (US & Canada)",7358461,"ninaavila2","","2023-11-16 21:00:52 UTC","2023-11-16 22:08:09 UTC","research","CC-BY-NC","https://www.inaturalist.org/observations/191210850","https://inaturalist-open-data.s3.amazonaws.com/photos/335384550/medium.jpg",NA,"","",1,0,"false",3,"NE Fargo St, Portland, OR, US",45.5455580702,-122.493753459,39,"",NA,NA,39,"","open","false","","","Portland","Multnomah","Oregon","United States","Oregon","Multnomah","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"Thinning Canopy","No","1-29% of the canopy is unhealthy",25,"0",0,"No","No selection","Large (too big to wrap arms around trunk)","Suburban","Roadside","Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)","Upland or well drained","Not sure","Area is flat (e.g. field)","No","This is the first time I have seen this tree","5","No preference","PWRC84","Located in median between 2 roadways",1,"Yes",0.25,"Large","Unhealthy","Thinning Canopy","Unhealthy","No","Yes"
"555",191211311,"2023-11-16 13:05:10-08:00","2023-11-16","2023-11-16 21:05:10 UTC","Pacific Time (US & Canada)",7358461,"ninaavila2","","2023-11-16 21:07:54 UTC","2023-11-16 22:08:02 UTC","research","CC-BY-NC","https://www.inaturalist.org/observations/191211311","https://inaturalist-open-data.s3.amazonaws.com/photos/335385740/medium.jpg",NA,"","",1,0,"false",3,"NE Fargo St, Portland, OR, US",45.5457157573,-122.4941289433,40,"",NA,NA,40,"","open","false","","","Portland","Multnomah","Oregon","United States","Oregon","Multnomah","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"Healthy","No","Healthy, no dieback(0%)",0,"0",0,"No","No selection","Large (too big to wrap arms around trunk)","Suburban","Roadside","Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)","Upland or well drained","Not sure","Area is flat (e.g. field)","No","This is the first time I have seen this tree","3","No Selection","PWRC87","Located median between 2 roads",0,"Yes",0,"Large","Healthy","Healthy","Healthy","No","No"
"556",191211771,"2023-11-16 13:09:42-08:00","2023-11-16","2023-11-16 21:09:42 UTC","Pacific Time (US & Canada)",7358461,"ninaavila2","","2023-11-16 21:12:12 UTC","2023-11-16 22:07:55 UTC","research","CC-BY-NC","https://www.inaturalist.org/observations/191211771","https://inaturalist-open-data.s3.amazonaws.com/photos/335386277/medium.jpg",NA,"","",1,0,"false",3,"NE Fargo St, Portland, OR, US",45.5455098509,-122.4942994633,38,"",NA,NA,38,"","open","false","","","Portland","Multnomah","Oregon","United States","Oregon","Multnomah","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"Thinning Canopy","No","1-29% of the canopy is unhealthy",2,"0",0,"No","No selection","Large (too big to wrap arms around trunk)","Suburban","Roadside","Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)","Upland or well drained","Not sure","Area is flat (e.g. field)","No","This is the first time I have seen this tree","3","No preference","PWRC86","Many companion redcedars around it and very close together",1,"Yes",0.02,"Large","Unhealthy","Thinning Canopy","Unhealthy","No","Yes"
"557",191214590,"2023-11-16 13:27:41-08:00","2023-11-16","2023-11-16 21:27:41 UTC","Pacific Time (US & Canada)",1878391,"eurythenes","Ric Vetter","2023-11-16 21:49:52 UTC","2023-11-16 22:21:19 UTC","casual","","https://www.inaturalist.org/observations/191214590","https://static.inaturalist.org/photos/335392899/medium.jpg",NA,"","PWRC1
68’ height 
118” circumference ",0,0,"true",3,"NE 25th Ave, Portland, OR, US",45.5632883333,-122.6404283333,4,"",NA,NA,4,"","open","false","","","Portland","Multnomah","Oregon","United States","Oregon","Multnomah","","Thuja plicata","western redcedar","Plantae",48252,"Extra Cone Crop","No","1-29% of the canopy is unhealthy",5,"0",0,"Yes (please elaborate in Notes, add Picture if possible)","Top Cutting or Intensive Pruning","Large (too big to wrap arms around trunk)","Urban","Urban yard or open park grounds","Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)","Upland or well drained","Tree does not typically have access to water in summer","Area is flat (e.g. field)","No","Not sure","25","Yes","PWRC1","The tree and the WRC 30 ft to the north were  both topped about 30 ft above grade.  Multiple large stems proliferated near the height of topping.  One of those stems has several dead branches. Two other stems have lower than normal scale density.  The neighboring WRC also has many large stems near the topping height, but this tree appears healthy. Near the base of the subject tree there is a small area where the bark has peeled away with several oval holes, about 6 by 3 mm.",1,"Yes",0.05,"Large","Unhealthy","Other","Unhealthy","No","No"
"558",191215334,"2023-11-16 13:56:31","2023-11-16","2023-11-16 21:56:31 UTC","Pacific Time (US & Canada)",7424674,"roberta41883","Roberta Jortner","2023-11-16 21:58:11 UTC","2023-11-17 19:04:03 UTC","casual","","https://www.inaturalist.org/observations/191215334","https://static.inaturalist.org/photos/335394337/medium.jpeg",NA,"","PWRC 15",0,0,"true",2,"Multnomah County, US-OR, US",45.49612246,-122.60450322,5,"",NA,NA,5,"","open","false","","","Portland","Multnomah","Oregon","United States","Oregon","Multnomah","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"Healthy","No","Healthy, no dieback(0%)",0,"0",0,"No","No selection","Medium (can wrap arms around trunk)","Urban","Roadside","Medium (moderately used trails, etc)","Upland or well drained","Tree may have occassional access to water in summer (watered by someone)","Area is flat (e.g. field)","Not sure","No selection","30","No Selection","PWRC 15","street tree, single dwelling site",0,"Yes",0,"Medium","Healthy","Healthy","Healthy","No","No"
"559",191220301,"2023-11-16 14:58:18-08:00","2023-11-16","2023-11-16 22:58:18 UTC","Pacific Time (US & Canada)",268175,"dayhiker","","2023-11-16 23:00:56 UTC","2023-12-01 18:41:39 UTC","research","CC-BY-NC","https://www.inaturalist.org/observations/191220301","https://inaturalist-open-data.s3.amazonaws.com/photos/335404249/medium.jpg",NA,"","Had a hard time in the light seeing the butterfly stoma, but in the lower left corner of my first photo seems to show some.  It was also hard to tell top from bottom as the needles drop straight down.  Hard to focus and shoot one handed, holding needles with the other.",1,0,"false",3,"SW First Ave, Portland, OR, US",45.5107882862,-122.6773103563,14,"",NA,NA,14,"","open","false","","","Portland","Multnomah","Oregon","United States","Oregon","Multnomah","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"Old Dead Top (needles already gone)","Not Sure","1-29% of the canopy is unhealthy",15,"0",0,"Not sure","","","","","","","","","","","","","","",1,"Yes",0.15,"","Unhealthy","Dead Top","Unhealthy","Yes","No"
"560",191291194,"2023-11-17 10:38:34","2023-11-17","2023-11-17 18:38:34 UTC","Pacific Time (US & Canada)",7424674,"roberta41883","Roberta Jortner","2023-11-17 18:50:44 UTC","2023-11-17 19:04:49 UTC","casual","","https://www.inaturalist.org/observations/191291194","https://static.inaturalist.org/photos/335542558/medium.jpeg",NA,"","PWRC 19",0,0,"true",2,"Foster - Powell, Portland, OR 97206, USA",45.49571607,-122.59735552,8,"",NA,NA,8,"","open","false","","","Portland","Multnomah","Oregon","United States","Oregon","Multnomah","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"Healthy","No","Healthy, no dieback(0%)",0,"0",0,"No","Top Cutting or Intensive Pruning","Large (too big to wrap arms around trunk)","Urban","Roadside","Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)","Upland or well drained","Tree may have occassional access to water in summer (watered by someone)","Area is flat (e.g. field)","No","No selection","15","No Selection","pwrc 19","topped for power lines, occluded trunk",0,"Yes",0,"Large","Healthy","Healthy","Healthy","No","No"
"561",191295547,"2023-11-17 11:32:03","2023-11-17","2023-11-17 19:32:03 UTC","Pacific Time (US & Canada)",7424674,"roberta41883","Roberta Jortner","2023-11-17 19:36:46 UTC","2023-11-18 21:02:07 UTC","casual","","https://www.inaturalist.org/observations/191295547","https://static.inaturalist.org/photos/335550685/medium.jpeg",NA,"","PWRC 82",0,0,"true",2,"Lents, Portland, OR, USA",45.49417455,-122.56723253,8,"",NA,NA,8,"","open","false","","","Portland","Multnomah","Oregon","United States","Oregon","Multnomah","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"Extra Cone Crop","No","Healthy, no dieback(0%)",3,"0",NA,"Not sure","No selection","Large (too big to wrap arms around trunk)","Urban","Urban yard or open park grounds","Medium (moderately used trails, etc)","Upland or well drained","Tree may have occassional access to water in summer (watered by someone)","No selection","No selection","No selection","","No Selection","PWRC82","looks pretty good, bark scarring, a little browning a a few dead branches",0,"Yes",0.03,"Large","Unhealthy","Other","Unhealthy","No","No"
"562",191307148,"2023-11-17 13:04:45-08:00","2023-11-17","2023-11-17 21:04:45 UTC","Pacific Time (US & Canada)",1878391,"eurythenes","Ric Vetter","2023-11-17 21:40:56 UTC","2023-11-17 21:42:09 UTC","casual","","https://www.inaturalist.org/observations/191307148","https://static.inaturalist.org/photos/335572381/medium.jpg",NA,"","",0,0,"true",3,"NE Alberta Ct, Portland, OR, US",45.55827,-122.6271283333,4,"",NA,NA,4,"","open","false","","","Portland","Multnomah","Oregon","United States","Oregon","Multnomah","","Thuja plicata","western redcedar","Plantae",48252,"Branch Dieback or 'Flagging'","No","Healthy, no dieback(0%)",5,"2-3",50,"Yes (please elaborate in Notes, add Picture if possible)","Top Cutting or Intensive Pruning","Large (too big to wrap arms around trunk)","Urban","Urban yard or open park grounds","Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)","Upland or well drained","Tree may have occassional access to water in summer (watered by someone)","Area is flat (e.g. field)","No","No selection","30","Yes","PWRC97","One of 5 WRC on the property, the 4 WRC on Alberta Ct, including this one, were all topped about 22ft above grade to accommodate utility and power lines.",0,"Yes",0.05,"Large","Unhealthy","Other","Unhealthy","No","No"
"563",191308204,"2023-11-17 13:44:12-08:00","2023-11-17","2023-11-17 21:44:12 UTC","Pacific Time (US & Canada)",1878391,"eurythenes","Ric Vetter","2023-11-17 21:55:22 UTC","2023-11-18 21:00:59 UTC","casual","","https://www.inaturalist.org/observations/191308204","https://static.inaturalist.org/photos/335574705/medium.jpg",NA,"","",0,0,"true",3,"NE Alberta Ct, Portland, OR, US",45.5583,-122.626945,4,"",NA,NA,4,"","open","false","","","Portland","Multnomah","Oregon","United States","Oregon","Multnomah","","Thuja plicata","western redcedar","Plantae",48252,"Branch Dieback or 'Flagging'","No","Healthy, no dieback(0%)",35,"2-3",60,"Yes (please elaborate in Notes, add Picture if possible)","Top Cutting or Intensive Pruning","Large (too big to wrap arms around trunk)","Urban","Urban yard or open park grounds","Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)","Upland or well drained","Tree may have occassional access to water in summer (watered by someone)","Area is flat (e.g. field)","No selection","No selection","30","Yes","PWRC98","One of 5 WRC on the property, the 4 WRC on Alberta Ct, including this one, were all topped about 22ft above grade to accommodate utility and power lines. This tree has 6 stems that grew out near where the tree was topped. Two of the large stems are dead, there is minor flagging on a third stem.  The dead stems were pruned by homeowner after the died",0,"Yes",0.35,"Large","Unhealthy","Other","Unhealthy","No","No"
"564",191426207,"2023/11/14 4:31 PM","2023-11-14","2023-11-15 00:31:00 UTC","Pacific Time (US & Canada)",268175,"dayhiker","","2023-11-19 01:18:27 UTC","2023-11-19 02:33:26 UTC","research","CC-BY-NC","https://www.inaturalist.org/observations/191426207","https://inaturalist-open-data.s3.amazonaws.com/photos/335813503/medium.jpg",NA,"","Near this one

https://www.inaturalist.org/observations/189595090",1,0,"false",NA,"Southeast Portland, Portland, OR, USA",45.5193519935,-122.6667115767,133,"",NA,NA,133,"","open","false","","","Portland","Multnomah","Oregon","United States","Oregon","Multnomah","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"Old Dead Top (needles already gone)","No selection","60-99% of the canopy is unhealthy",90,"0",0,"Not sure","","","","","","","","","","","","","","Tree on same River walkway, might be in sight if there were not objects between",60,"Yes",0.9,"","Unhealthy","Dead Top","Unhealthy","Yes","No"
"565",191560738,"2023-11-15 15:48:11","2023-11-15","2023-11-15 23:48:11 UTC","Pacific Time (US & Canada)",7501120,"leilani10839","Leilani Ferris","2023-11-20 07:37:42 UTC","2023-12-01 18:45:18 UTC","research","","https://www.inaturalist.org/observations/191560738","https://static.inaturalist.org/photos/336086099/medium.jpeg",NA,"","Had some trouble placing this one, but I am pretty sure it's in the cypress family. It has flat needles and smaller cones. Its bark tend to almost peel up in places. The branches almost have a weeping formation to them. The tree itself is around 40 feet tall.",2,0,"false",2,"Oregon, US",45.5582502855,-122.7753273933,5791,"",NA,NA,27158,"obscured","open","true","gps","gps","","Clackamas","Oregon","United States","Oregon","Clackamas","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"Thinning Canopy","","1-29% of the canopy is unhealthy",5,"Not sure",NA,"Not sure","","","","","","","","","","","","","","",1,"Yes",0.05,"","Unhealthy","Thinning Canopy","Unhealthy","No","Yes"
"566",191616282,"2023-11-20 13:39:01-08:00","2023-11-20","2023-11-20 21:39:01 UTC","Pacific Time (US & Canada)",1878391,"eurythenes","Ric Vetter","2023-11-20 21:48:57 UTC","2023-11-20 21:51:37 UTC","casual","","https://www.inaturalist.org/observations/191616282","https://static.inaturalist.org/photos/336194698/medium.jpg",NA,"","",0,0,"true",3,"NE Prescott St, Portland, OR, US",45.555295,-122.6264883333,4,"",NA,NA,4,"","open","false","","","Portland","Multnomah","Oregon","United States","Oregon","Multnomah","","Thuja plicata","western redcedar","Plantae",48252,"Branch Dieback or 'Flagging'","No selection","1-29% of the canopy is unhealthy",20,"0",50,"Not sure","Top Cutting or Intensive Pruning","Large (too big to wrap arms around trunk)","Urban","Urban yard or open park grounds","Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)","Upland or well drained","Tree may have occassional access to water in summer (watered by someone)","Area is flat (e.g. field)","No","No selection","","Yes","92","Tree has been topped to accommodate power/utility lines. One large dead stem, flagged stem appears to be broken .",1,"Yes",0.2,"Large","Unhealthy","Other","Unhealthy","No","No"
"567",191621640,"2023-11-20 14:48:15-08:00","2023-11-20","2023-11-20 22:48:15 UTC","Pacific Time (US & Canada)",1878391,"eurythenes","Ric Vetter","2023-11-20 22:52:30 UTC","2023-11-20 22:54:36 UTC","casual","","https://www.inaturalist.org/observations/191621640","https://static.inaturalist.org/photos/336204876/medium.jpg",NA,"","In a 4 ft street parking strip",0,0,"true",3,"NE Tenth Ave, Portland, OR, US",45.549595,-122.6557466667,21,"",NA,NA,21,"","open","false","","","Portland","Multnomah","Oregon","United States","Oregon","Multnomah","","Thuja plicata","western redcedar","Plantae",48252,"Branch Dieback or 'Flagging'","No selection","1-29% of the canopy is unhealthy",3,"0",NA,"Not sure","Other (please describe in Notes)","Large (too big to wrap arms around trunk)","Urban","Urban yard or open park grounds","Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)","Upland or well drained","Tree may have occassional access to water in summer (watered by someone)","Area is flat (e.g. field)","No","No selection","","Yes","55","The general canopy seemed a bit thin.  There is clear thinning and one flagging branch at the top",1,"Yes",0.03,"Large","Unhealthy","Other","Unhealthy","No","No"
"568",191623388,"2023-11-20 15:09:00-08:00","2023-11-20","2023-11-20 23:09:00 UTC","Pacific Time (US & Canada)",268175,"dayhiker","","2023-11-20 23:13:20 UTC","2023-11-23 15:26:21 UTC","research","CC-BY-NC","https://www.inaturalist.org/observations/191623388","https://inaturalist-open-data.s3.amazonaws.com/photos/336208272/medium.jpg",NA,"","",1,0,"false",3,"Multnomah County, US-OR, US",45.4999326636,-122.6893786156,4,"",NA,NA,4,"","open","false","","","Portland","Multnomah","Oregon","United States","Oregon","Multnomah","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"Healthy","Not Sure","Healthy, no dieback(0%)",0,"0",NA,"Not sure","No selection","Small (can wrap hands around trunk)","Urban","Forest edge","No Selection","No Selection","No selection","Summit of hill or mountain","No selection","No selection","","No Selection","","Horsetail below here and a creek below that so wet slope?",0,"Yes",0,"Small","Healthy","Healthy","Healthy","No","No"
"569",191797807,"2023-11-22 14:29:29-08:00","2023-11-22","2023-11-22 22:29:29 UTC","America/Vancouver",3801949,"papajames","","2023-11-22 22:33:05 UTC","2023-11-22 23:15:42 UTC","needs_id","CC-BY-NC","https://www.inaturalist.org/observations/191797807","https://inaturalist-open-data.s3.amazonaws.com/photos/336559457/medium.jpg",NA,"","",0,0,"false",3,"Delbrook, North Vancouver, BC, CA",49.3344716667,-123.0931638333,17,"",NA,NA,17,"","open","false","","","","Greater Vancouver","British Columbia","Canada","British Columbia","Greater Vancouver","","Thuja plicata","western redcedar","Plantae",48252,"Healthy","No selection","tree is dead",100,"2-3",50,"Not sure","No selection","Small (can wrap hands around trunk)","Urban","Forest edge","Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)","Upland or well drained","Tree does not typically have access to water in summer","Middle of a slope","No","Not sure","3","No Selection","","",100,"Yes",1,"Small","Healthy","Healthy","Healthy","No","No"
"570",191800688,"2023-11-22 15:12:45-08:00","2023-11-22","2023-11-22 23:12:45 UTC","America/Vancouver",3801949,"papajames","","2023-11-22 23:15:42 UTC","2023-11-22 23:16:05 UTC","needs_id","CC-BY-NC","https://www.inaturalist.org/observations/191800688","https://inaturalist-open-data.s3.amazonaws.com/photos/336565534/medium.jpg",NA,"","",0,0,"false",3,"Delbrook, North Vancouver, BC, CA",49.3349416667,-123.0935666667,4,"",NA,NA,4,"","open","false","","","","Greater Vancouver","British Columbia","Canada","British Columbia","Greater Vancouver","","Thuja plicata","western redcedar","Plantae",48252,"Healthy","No selection","1-29% of the canopy is unhealthy",20,"2-3",50,"Not sure","No selection","Small (can wrap hands around trunk)","Urban","Urban yard or open park grounds","Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)","Upland or well drained","Tree does not typically have access to water in summer","Middle of a slope","No selection","Not sure","","No Selection","","",1,"Yes",0.2,"Small","Healthy","Healthy","Healthy","No","No"
"571",191959349,"2023-11-23 16:16:01-08:00","2023-11-23","2023-11-24 00:16:01 UTC","Pacific Time (US & Canada)",3898930,"michael_james_burkhow","Michael James Burkhow","2023-11-24 16:45:14 UTC","2023-11-24 20:06:55 UTC","research","CC-BY-NC","https://www.inaturalist.org/observations/191959349","https://inaturalist-open-data.s3.amazonaws.com/photos/336880616/medium.jpg",NA,"","Found this healthy (but with a heavy cone crop) cedar in the middle of Belltown in downtown Seattle. ",1,0,"false",3,"1st Ave, Seattle, WA, US",47.6181833333,-122.3545616667,14,"",NA,NA,14,"","open","false","","","","King","Washington","United States","Washington","King","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"Healthy","No selection","Healthy, no dieback(0%)",0,"0",NA,"Not sure","Evidence of soil compaction","Medium (can wrap arms around trunk)","Urban","Roadside","Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)","Other","Not sure","No selection","No selection","No selection","","No Selection","","",0,"Yes",0,"Medium","Healthy","Healthy","Healthy","No","No"
"572",192101081,"2023-11-25 11:12:49-08:00","2023-11-25","2023-11-25 19:12:49 UTC","Pacific Time (US & Canada)",1869802,"alginger","","2023-11-25 19:17:03 UTC","2023-11-30 22:26:56 UTC","research","CC-BY-NC","https://www.inaturalist.org/observations/192101081","https://inaturalist-open-data.s3.amazonaws.com/photos/337157829/medium.jpg",NA,"","",1,0,"false",3,"N Exeter Ave, Portland, OR, US",45.5917734529,-122.7220849378,35,"",NA,NA,35,"","open","false","","","Portland","Multnomah","Oregon","United States","Oregon","Multnomah","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"Healthy","No","1-29% of the canopy is unhealthy",3,"1",7,"No","No selection","Large (too big to wrap arms around trunk)","Urban","Urban yard or open park grounds","Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)","Upland or well drained","Not sure","Area is flat (e.g. field)","No","No selection","10","No Thanks","Pwrc29.  This tree has heavy pruning for utility wires and box","",1,"Yes",0.03,"Large","Healthy","Healthy","Healthy","No","No"
